Unnamed: 0;Protocol;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;ICD10_Main;ICD10_Secondary;ICDO_Topography_Main;ICDO_Topography_Secondary;Confidence;Note;DuplicateGroup;DuplicateGroup_Members;DuplicateGroup_Disambiguation;SubsetOf;SingleAgent
228;Vd;Bortezomib;Dexamethason;NA;NA;NA;NA;NA;C90;C88;C42;C77;high;Bortezomib/dexamethasone doublet.;;;unique;D-VTd,VCD,VFD,VRD,VTD;FALSE
229;Tamoxifen;Tamoxifen;NA;NA;NA;NA;NA;NA;C50;C56;C50;C56;high;"SERM; adjuvant and palliative in HR-positive breast cancer, pre- and postmenopausal. Use in DCIS (D05) is out of scope here.";;;unique;Tamoxifen + GnRH-Analogon;TRUE
230;Anastrozol;Anastrozol;NA;NA;NA;NA;NA;NA;C50;;C50;;high;"Non-steroidal aromatase inhibitor; postmenopausal HR-positive breast cancer.";;;unique;;TRUE
231;Letrozol mono;Letrozol;NA;NA;NA;NA;NA;NA;C50;C54;C50;C54;high;"Non-steroidal aromatase inhibitor; also used in endocrine therapy of endometrial carcinoma.";;;unique;Palbociclib + Letrozol,Ribociclib + Letrozol;TRUE
232;Exemestan;Exemestan;NA;NA;NA;NA;NA;NA;C50;;C50;;high;Steroidal aromatase inhibitor.;;;unique;AI + GnRH-Analogon;TRUE
233;Fulvestrant mono;Fulvestrant;NA;NA;NA;NA;NA;NA;C50;;C50;;high;"Selective oestrogen receptor degrader; metastatic HR-positive breast cancer.";;;unique;Abemaciclib + Fulvestrant;TRUE
234;Tamoxifen + GnRH-Analogon;Tamoxifen;GnRH-Analogon;NA;NA;NA;NA;NA;C50;;C50;;high;Tamoxifen with ovarian function suppression in premenopausal patients.;;;unique;;FALSE
235;AI + GnRH-Analogon;Exemestan;GnRH-Analogon;NA;NA;NA;NA;NA;C50;;C50;;high;"Aromatase inhibitor with ovarian function suppression (SOFT/TEXT). Exemestane stands for the class; anastrozole and letrozole are used in the same position.";;;unique;;FALSE
236;GnRH-Analogon (ADT);GnRH-Analogon;NA;NA;NA;NA;NA;NA;C61;C50;C61;C50;high;Androgen deprivation by GnRH agonist (leuprorelin, goserelin, triptorelin). Recorded at class level because registry documentation frequently is.;;;unique;AI + GnRH-Analogon,Tamoxifen + GnRH-Analogon;TRUE
237;Degarelix;Degarelix;NA;NA;NA;NA;NA;NA;C61;;C61;;high;"GnRH antagonist; androgen deprivation without testosterone flare.";;;unique;;TRUE
238;Bicalutamid;Bicalutamid;NA;NA;NA;NA;NA;NA;C61;;C61;;high;First-generation anti-androgen.;;;unique;;TRUE
239;Apalutamid;Apalutamid;NA;NA;NA;NA;NA;NA;C61;;C61;;high;"Second-generation androgen receptor inhibitor; given with androgen deprivation.";;;unique;;TRUE
240;Darolutamid;Darolutamid;NA;NA;NA;NA;NA;NA;C61;;C61;;high;"Second-generation androgen receptor inhibitor; given with androgen deprivation.";;;unique;;TRUE
241;Medroxyprogesteronacetat;Medroxyprogesteronacetat;NA;NA;NA;NA;NA;NA;C54;C56;C54;C56;high;Progestin therapy in endocrine-responsive endometrial carcinoma, including fertility-preserving approaches.;;;unique;;TRUE
242;Megestrolacetat;Megestrolacetat;NA;NA;NA;NA;NA;NA;C54;C50;C54;C50;high;"Progestin; endometrial carcinoma and pretreated HR-positive breast cancer.";;;unique;;TRUE
243;Octreotid LAR;Octreotid;NA;NA;NA;NA;NA;NA;C25,C17,C18;C34,C73,C19,C20;C25,C17,C18;C34,C73,C19,C20;high;"Long-acting somatostatin analogue; antiproliferative and antisecretory in well-differentiated NET.";;;unique;;TRUE
244;Lanreotid;Lanreotid;NA;NA;NA;NA;NA;NA;C25,C17,C18;C34,C19,C20;C25,C17,C18;C34,C19,C20;high;"Long-acting somatostatin analogue; antiproliferative in well-differentiated gastroenteropancreatic NET.";;;unique;;TRUE
