Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.Confidence;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICD10.Short.SecondaryUse.Confidence;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.Confidence;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short.SecondaryUse.Confidence;Inclusion.ICD10.Detailed;Inclusion.ICD10.Detailed.Confidence;Inclusion.ICD10.Detailed.SecondaryUse;Inclusion.ICD10.Detailed.SecondaryUse.Confidence;Inclusion.ICDO.Morphology;Inclusion.ICDO.Morphology.Confidence;Inclusion.Biomarker.RequiredAll;Inclusion.Biomarker.RequiredAll.Confidence;Inclusion.Biomarker.RequiredAny;Inclusion.Biomarker.RequiredAny.Confidence;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Line.Confidence;Therapy.Context;Therapy.Context.Confidence
Tamoxifen;Tamoxifen;;;;;;;C50;high;C56;high;C50;high;C56;high;;;;;8500/3,8520/3;medium;HR-positive;high;;;high;;;unique;Tamoxifen + GnRH-Analogon;TRUE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
Tamoxifen + GnRH-Analogon;Tamoxifen;GnRH-Analogon;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HR-positive;high;;;high;;;unique;;FALSE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
TCED;Cyclophosphamid;Etoposid;Thalidomid;Dexamethason;;;;C90;medium;;;C42;medium;;;C90.0;high;;;9732/3;high;;;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
TCH;Carboplatin;Docetaxel;Trastuzumab;;;;;C50;high;C16;high;C50;high;C16;high;;;;;8500/3,8520/3;medium;HER2-positive;high;;;high;;;unique;;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
T-DM1;Trastuzumab Emtansin;;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HER2-positive;high;;;high;;;unique;;TRUE;;;adjuvant,palliative;medium
T-DXd;Trastuzumab Deruxtecan;;;;;;;C50;high;C16, C34;high;C50;high;C16, C34;high;;;;;8500/3,8520/3;medium;;;HER2-positive, HER2-low;medium;high;;;unique;;TRUE;second-line+;high;palliative;high
THP;Docetaxel;Trastuzumab;Pertuzumab;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HER2-positive;high;;;high;;;unique;;FALSE;first-line;high;palliative,neoadjuvant;high
TIP;Cisplatin;Ifosfamid;Paclitaxel;;;;;C62;medium;C67, C65, C66, C56, C38, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;low;C62;medium;C67, C65, C66, C56, C38, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;low;;;;;9060/3-9102/3;high;;;;;medium;;;unique;;FALSE;second-line+;high;salvage;high
TMZ;Temozolomid;;;;;;;C71;high;C70, C72, C43, C25, C75;medium;C71;high;C70, C72, C43, C25, C75;medium;;;;;9440/3,9445/3;high;;;;;high;;;unique;CAPTEM;TRUE;first-line and later;medium;chemoradiotherapy,adjuvant,palliative;high
Topotecan mono;Topotecan;;;;;;;C34;high;C56, C57, C48, C53;medium;C34;high;C56, C57, C48, C53;medium;;;;;8041/3-8045/3,8441/3,8460/3,8461/3;medium;;;;;high;;;unique;;TRUE;second-line+;high;palliative;high
TPF;Cisplatin;Docetaxel;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31, C15, C16;low;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31, C15, C16;low;;;;;8070/3;high;;;;;high;;;unique;;FALSE;first-line;high;induction,neoadjuvant;high
Trabectedin;Trabectedin;;;;;;;C49;high;C48, C56;high;C49;high;C48, C56;high;;;;;8800/3-8890/3;medium;;;;;high;;;unique;;TRUE;second-line+;high;palliative;high
Trifluridin/Tipiracil;Trifluridin;Tipiracil;;;;;;C18, C19, C20;high;C16;high;C18, C19, C20;high;C16;high;;;;;8140/3;medium;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
VAC;Vincristin;Actinomycin D;Cyclophosphamid;;;;;C49;high;C40, C41, C57, C62, C56;medium;C49;high;C40, C41, C57, C62, C56;medium;;;;;8900/3-8920/3;high;;;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
VCD;Bortezomib;Cyclophosphamid;Dexamethason;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;first-line;high;induction;high
Vd;Bortezomib;Dexamethason;;;;;;C90;high;C88;high;C42;high;C77;high;C90.0;high;;;9732/3;high;;;;;high;;;unique;D-VTd,VCD,VFD,VRD,VTD;FALSE;first-line and later;medium;palliative;high
VeIP;Cisplatin;Ifosfamid;Vinblastin;;;;;C62;high;C56, C38, C48;medium;C62;high;C56, C38, C48;medium;;;;;9060/3-9102/3;high;;;;;high;;;unique;PVBI;FALSE;second-line+;high;salvage;high
Venetoclax + Obinutuzumab;Venetoclax;Obinutuzumab;;;;;;C91;high;;;C42;high;;;C91.1;high;;;9823/3;high;CD20-positive;high;;;high;;;unique;;FALSE;first-line;high;palliative;high
Venetoclax + Rituximab;Venetoclax;Rituximab;;;;;;C91;high;;;C42;high;;;C91.1;high;;;9823/3;high;CD20-positive;high;;;high;;;unique;;FALSE;second-line+;high;palliative;high
VFD;Bortezomib;Panobinostat;Dexamethason;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
VIDE;Vincristin;Ifosfamid;Doxorubicin;Etoposid;;;;C40, C41, C49;high;C47;high;C40, C41, C49;high;C47;high;;;;;9260/3,9364/3;high;;;;;high;;;unique;;FALSE;first-line;high;induction,curative-intent;high
VIPD;Cisplatin;Etoposid;Ifosfamid;Dexamethason;;;;C86;medium;C83, C85;medium;C11, C30, C77;high;C77;medium;C86.0;high;;;9719/3;high;;;;;medium;;;unique;;FALSE;first-line and later;medium;chemoradiotherapy,salvage;medium
VMP;Bortezomib;Melphalan;Prednison;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;D-VMP;FALSE;first-line;high;palliative;high
VRD;Bortezomib;Lenalidomid;Dexamethason;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;first-line;high;induction;high
VTD;Bortezomib;Thalidomid;Dexamethason;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;D-VTd;FALSE;first-line;high;induction;high
XP;Capecitabin;Cisplatin;;;;;;C16, C15;high;C22, C23, C24, C11;medium;C16, C15;high;C22, C23, C24, C11;medium;;;;;8140/3,8144/3;medium;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
